skenario,produk,s,kerugian_output_rp,pct_output,kerugian_ntb_rp,pct_pdb,kerugian_komp_tk_rp,pct_komp_tk,kerugian_surplus_rp,pct_surplus,pi_maks_pct,indeks_harga_bawah_pct,indeks_harga_atas_pct
Olahan buah-sayur (57),57,0.1,6280938.548053384,0.021884612269720032,2954548.332803338,0.019632565334219046,560237.2446569644,0.00964130586684113,2376066.4508412546,0.025995512426993536,3.9453872578643745,0.0012355063610877592,0.006820346699911361
Olahan buah-sayur (57),57,0.2,12812576.065421734,0.04464273248700259,6026990.775493462,0.040048520734924445,1145686.0880479962,0.019716486377157706,4844087.331100337,0.052997058381290964,8.128956449534863,0.0024953893692621723,0.013775259428577102
Olahan buah-sayur (57),57,0.3,19643668.21559086,0.0684442395295308,9240255.246618694,0.06140021905208648,1761224.6554817115,0.030309490783888005,7421970.837472247,0.08120056367530591,12.570272582769038,0.0037806303248332914,0.020870155242956295
Olahan buah-sayur (57),57,0.4,26841178.425399326,0.09352245340535788,12625832.077486195,0.08389690918507837,2413550.174472995,0.04153557386444398,10134315.598086258,0.11087515122982,17.29095162337433,0.005092271001878696,0.028110785032413686
Olahan buah-sayur (57),57,0.5,34501512.10535779,0.1202132785360265,16229057.035097653,0.10783984103993671,3112300.6073233187,0.0535605984624116,13016539.436363045,0.14240831208850466,22.314924007113458,0.006431418721665442,0.03550326152545263
Olahan buah-sayur (57),57,0.6,42772631.228079446,0.14903225736420336,20119510.96019601,0.13369136968688622,3872262.1597594097,0.06663902522527729,16123007.275102518,0.17639482929109232,27.668738513738276,0.007799251969531187,0.04305409029649734
Olahan buah-sayur (57),57,0.7,51903610.78978267,0.18084723944399855,24414324.270407088,0.1622298105628863,4718315.097662271,0.08119902678114606,19545245.90066874,0.21383605770772451,33.3819137263651,0.00919702662661499,0.05077020416682008
Olahan buah-sayur (57),57,0.8,62380108.80310458,0.21735039820155394,29341883.302003734,0.1949727593080343,5698951.089782662,0.09807511210791683,23461739.52912105,0.2566847157293158,39.48734578686166,0.010626082899013692,0.058659001455456446
Olahan buah-sayur (57),57,0.9,75455949.66117682,0.26291042161050165,35491813.65030789,0.23583819651325957,6939303.319867598,0.11942073906670586,28333339.205710147,0.3099827747492024,46.02178299367714,0.012087853040175726,0.06672838860901661
Olahan buah-sayur (57),57,1.0,104330892.55342478,0.36351910050021974,49071455.67700129,0.32607304098825457,9755786.252831638,0.16789051447778366,39012635.993370056,0.4268203287901995,53.02638006446192,0.013583869978060997,0.07498682782606295
Garam (50),50,0.1,3367866.6200240487,0.011734624465988707,1851631.539856547,0.012303835675161379,432538.59796966676,0.007443698115418296,1408894.047692868,0.015414098672261454,12.809279035326938,0.0010140518915411777,0.003909286231582082
Garam (50),50,0.2,6928813.860759342,0.024141997835462874,3809417.579813163,0.02531305333226466,891685.3681285011,0.015345304963395813,2896749.71818771,0.031692082210233445,27.836123974075466,0.002066150412390859,0.007965246578517162
Garam (50),50,0.3,10722674.67345468,0.03736090966781228,5895258.024151047,0.03917317480855318,1383005.8295649686,0.02380059938111517,4479780.770742855,0.04901133832129213,45.57253614043235,0.0031592622048834586,0.012179317786921193
Garam (50),50,0.4,14804881.28925042,0.051584501939585685,8139629.162530484,0.054086710836803636,1914264.0408700127,0.03294319559068899,6180531.571270857,0.06761851513433602,66.64571936778347,0.004296715018159564,0.016564328711023417
Garam (50),50,0.5,19256499.391817883,0.06709523101330814,10587100.394667417,0.07034981891835562,2496846.100350937,0.04296904067963706,8031939.930362979,0.08787397094836806,91.86303365967031,0.005482258802101749,0.021134735837289007
